#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         497     1.93614     1.88751    0.040784
         498     1.96514     1.88767   0.0407024
         499     1.99702     1.88789   0.0406214
         500     2.03117     1.88818   0.0405412
         501     2.07178     1.88854   0.0404619
         502     2.12182     1.88901    0.040384
         503     2.18543      1.8896    0.040308
         504     2.25319     1.89032   0.0402345
         505     2.32252     1.89117   0.0401639
         506     2.38565     1.89215   0.0400964
         507     2.43743     1.89323   0.0400317
         508     2.47703     1.89438   0.0399694
         509     2.50181     1.89557   0.0399087
         510     2.51435     1.89678   0.0398489
         511     2.51803       1.898   0.0397895
         512     2.52131     1.89922   0.0397304
         513     2.52938     1.90044   0.0396719
         514     2.54605      1.9017   0.0396146
         515     2.56959       1.903   0.0395589
         516     2.59523     1.90434    0.039505
         517     2.61492     1.90571   0.0394525
         518     2.62009     1.90709   0.0394004
         519     2.60338     1.90843   0.0393473
         520     2.56009     1.90969   0.0392916
         521     2.48677     1.91079   0.0392318
         522     2.39169     1.91172   0.0391675
         523      2.2845     1.91243   0.0390991
         524     2.17767     1.91293   0.0390277
         525     2.08786     1.91327   0.0389548
         526     2.03019     1.91349   0.0388814
         527     2.00922     1.91367    0.038808
         528     2.02532     1.91388   0.0387351
         529     2.07302     1.91418    0.038663
         530     2.14596     1.91462   0.0385926
         531     2.23887     1.91523   0.0385247
         532     2.33366     1.91602   0.0384603
         533     2.41788     1.91696   0.0383997
         534     2.48032     1.91801   0.0383423
         535     2.51099     1.91912   0.0382866
         536     2.50416     1.92021   0.0382307
         537     2.46072     1.92122   0.0381728
         538     2.38482     1.92208   0.0381116
         539     2.29133     1.92277    0.038047
         540     2.19471     1.92327   0.0379799
         541     2.11212     1.92362   0.0379113
         542     2.05024     1.92385   0.0378421
         543     2.01892     1.92403   0.0377728
         544     2.02068     1.92421   0.0377038
         545     2.04272     1.92442   0.0376352
         546     2.07858     1.92471   0.0375673
         547     2.11817     1.92506   0.0375003
         548     2.14896     1.92547   0.0374341
         549      2.1709     1.92592   0.0373686
         550     2.18696     1.92639   0.0373037
         551     2.19499     1.92688   0.0372392
