#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         409     1.71407     1.68535    0.010686
         410     1.74663      1.6855    0.010661
         411     1.76694      1.6857   0.0106369
         412     1.77525     1.68591   0.0106133
         413     1.77391     1.68613   0.0105898
         414      1.7658     1.68632   0.0105659
         415     1.75362     1.68648   0.0105417
         416     1.73955     1.68661   0.0105171
         417     1.72517      1.6867   0.0104923
         418     1.71153     1.68676   0.0104674
         419     1.69943     1.68679   0.0104425
         420     1.68977      1.6868   0.0104176
         421     1.68348     1.68679   0.0103929
         422     1.68107     1.68678   0.0103682
         423     1.68217     1.68676   0.0103437
         424     1.68557     1.68676   0.0103193
         425     1.68994     1.68677   0.0102951
         426     1.69439     1.68679   0.0102709
         427     1.69839     1.68681   0.0102469
         428     1.70141     1.68685    0.010223
         429     1.70267     1.68689   0.0101992
         430     1.70136     1.68692   0.0101756
         431     1.69718     1.68694    0.010152
         432     1.69081     1.68695   0.0101285
         433     1.68405     1.68695   0.0101051
         434     1.67938     1.68693   0.0100818
         435     1.67885     1.68691   0.0100587
         436     1.68299      1.6869   0.0100356
         437     1.69039     1.68691   0.0100127
         438     1.69832     1.68693  0.00998983
         439     1.70409     1.68697  0.00996715
         440     1.70618     1.68702   0.0099446
         441     1.70486     1.68706  0.00992213
         442     1.70184     1.68709  0.00989974
         443     1.69955     1.68712  0.00987743
         444     1.70022     1.68715  0.00985523
         445     1.70513     1.68719  0.00983316
         446     1.71428     1.68725   0.0098113
         447     1.72642     1.68734  0.00978975
         448     1.73937     1.68745  0.00976858
         449     1.75047     1.68759  0.00974783
         450     1.75706     1.68775  0.00972739
         451     1.75695      1.6879  0.00970704
         452     1.74857     1.68804  0.00968649
         453     1.73105     1.68813  0.00966557
         454      1.7044     1.68817  0.00964435
         455     1.66985     1.68813  0.00962323
         456     1.63019       1.688  0.00960297
         457     1.58974     1.68778  0.00958436
         458      1.5533     1.68749  0.00956793
         459     1.52437     1.68714  0.00955369
         460     1.50396     1.68674  0.00954121
         461     1.49105     1.68631  0.00952995
         462     1.48408     1.68588  0.00951937
         463     1.48214     1.68543  0.00950898
         464     1.48536       1.685  0.00949826
         465     1.49414     1.68459   0.0094867
         466     1.50825     1.68421  0.00947388
         467     1.52614     1.68388  0.00945964
         468     1.54509     1.68358  0.00944407
         469     1.56194     1.68332   0.0094275
         470      1.5739     1.68309  0.00941031
         471     1.57902     1.68287  0.00939293
