#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         472    -5.44658    -5.45116  0.00192911
         473    -5.44033    -5.45114  0.00192517
         474    -5.42811    -5.45109  0.00192172
         475    -5.42033    -5.45102  0.00191876
         476    -5.41455    -5.45095  0.00191626
         477    -5.41304    -5.45087  0.00191389
         478    -5.41716     -5.4508  0.00191119
         479    -5.43182    -5.45076  0.00190761
         480    -5.46054    -5.45078  0.00190374
         481    -5.48696    -5.45085  0.00190127
         482    -5.49912    -5.45095  0.00189996
         483    -5.50341    -5.45106  0.00189913
         484    -5.50297    -5.45117  0.00189823
         485    -5.49583    -5.45126  0.00189655
         486    -5.47658    -5.45131  0.00189336
         487    -5.45047    -5.45131  0.00188947
         488    -5.42756    -5.45126  0.00188623
         489    -5.40974    -5.45118  0.00188428
         490    -5.40447    -5.45108  0.00188285
         491    -5.40866      -5.451  0.00188099
         492      -5.423    -5.45094  0.00187803
         493    -5.44063    -5.45092  0.00187434
         494    -5.44914    -5.45092  0.00187055
         495    -5.45049    -5.45092  0.00186677
         496    -5.44975    -5.45091  0.00186301
         497     -5.4631    -5.45094  0.00185942
         498    -5.47906    -5.45099  0.00185654
         499    -5.49334    -5.45108  0.00185476
         500    -5.49451    -5.45117  0.00185308
         501    -5.48583    -5.45123  0.00185068
         502    -5.46806    -5.45127  0.00184729
         503    -5.44603    -5.45126  0.00184365
         504    -5.42924    -5.45121  0.00184051
         505    -5.43064    -5.45117  0.00183732
         506    -5.44486    -5.45116  0.00183373
         507    -5.45853    -5.45118  0.00183017
         508    -5.46606     -5.4512   0.0018268
         509    -5.46718    -5.45124  0.00182348
         510    -5.46836    -5.45127  0.00182021
         511    -5.46205    -5.45129  0.00181677
         512    -5.44855    -5.45129  0.00181323
         513    -5.43175    -5.45125   0.0018101
         514    -5.42211    -5.45119  0.00180747
         515    -5.42707    -5.45114  0.00180456
         516    -5.44465    -5.45113  0.00180111
         517    -5.46663    -5.45116  0.00179787
         518    -5.47469    -5.45121  0.00179498
         519    -5.47268    -5.45125    0.001792
         520    -5.45925    -5.45126  0.00178862
         521    -5.43902    -5.45124  0.00178534
         522    -5.42797     -5.4512  0.00178247
         523    -5.43041    -5.45116  0.00177951
         524    -5.44653    -5.45115  0.00177613
         525     -5.4695    -5.45118  0.00177309
         526    -5.49162    -5.45126  0.00177139
         527    -5.49872    -5.45135  0.00177032
         528    -5.48864    -5.45142  0.00176837
         529    -5.46381    -5.45144  0.00176518
         530    -5.43498    -5.45141  0.00176213
         531    -5.42036    -5.45135  0.00175978
         532    -5.41733    -5.45129  0.00175763
         533    -5.42556    -5.45124    0.001755
         534    -5.43718    -5.45121  0.00175191
         535    -5.44486     -5.4512  0.00174867
         536    -5.45194     -5.4512  0.00174541
         537    -5.46075    -5.45122  0.00174225
         538    -5.46908    -5.45126  0.00173933
         539     -5.4755     -5.4513  0.00173668
         540    -5.47307    -5.45134  0.00173394
         541    -5.46801    -5.45137  0.00173101
         542    -5.46356    -5.45139  0.00172796
         543    -5.46134    -5.45141  0.00172487
         544    -5.45554    -5.45142  0.00172172
         545    -5.45184    -5.45142  0.00171856
         546    -5.44634    -5.45141  0.00171544
         547     -5.4447     -5.4514  0.00171234
         548    -5.44483    -5.45139  0.00170926
         549    -5.44394    -5.45137   0.0017062
         550    -5.43754    -5.45135  0.00170329
         551    -5.42659     -5.4513  0.00170079
         552    -5.40891    -5.45123  0.00169944
         553    -5.40048    -5.45113  0.00169884
         554    -5.40743    -5.45106  0.00169761
         555    -5.43127    -5.45102  0.00169492
         556    -5.46341    -5.45104  0.00169202
         557    -5.48938    -5.45111  0.00169038
         558    -5.49909     -5.4512  0.00168954
         559    -5.49561    -5.45128  0.00168838
         560    -5.49009    -5.45135  0.00168679
         561    -5.48692    -5.45141  0.00168497
         562    -5.47062    -5.45144  0.00168232
         563    -5.45638    -5.45145  0.00167936
         564    -5.44484    -5.45144  0.00167642
         565    -5.44365    -5.45143  0.00167351
         566    -5.45223    -5.45143  0.00167055
         567    -5.46222    -5.45145  0.00166772
         568    -5.46926    -5.45148  0.00166507
         569    -5.47244    -5.45152  0.00166256
         570     -5.4715    -5.45155  0.00166001
         571    -5.46445    -5.45157  0.00165725
         572    -5.45459    -5.45158  0.00165437
         573    -5.43979    -5.45156  0.00165161
         574    -5.43104    -5.45152  0.00164912
         575    -5.42585    -5.45148  0.00164685
         576    -5.42574    -5.45143   0.0016446
         577    -5.42752    -5.45139  0.00164227
         578    -5.42093    -5.45134  0.00164027
         579    -5.42172    -5.45129  0.00163824
         580    -5.43859    -5.45127  0.00163556
         581    -5.47343     -5.4513  0.00163319
         582    -5.50144    -5.45139  0.00163266
         583    -5.49821    -5.45147  0.00163183
         584    -5.47748    -5.45151  0.00162964
         585    -5.45424    -5.45152  0.00162686
         586    -5.43772     -5.4515  0.00162426
         587    -5.43164    -5.45146  0.00162184
         588    -5.42872    -5.45142  0.00161955
         589    -5.43601     -5.4514  0.00161701
         590    -5.44551    -5.45139   0.0016143
         591    -5.45565    -5.45139  0.00161158
         592    -5.45619     -5.4514  0.00160888
         593    -5.44764     -5.4514  0.00160618
         594    -5.43894    -5.45138  0.00160361
         595    -5.43135    -5.45134  0.00160127
         596    -5.43434    -5.45131  0.00159884
         597     -5.4397    -5.45129  0.00159628
         598     -5.4459    -5.45128  0.00159363
         599    -5.45469    -5.45129  0.00159098
         600    -5.46631    -5.45132  0.00158853
         601    -5.47852    -5.45136  0.00158653
         602    -5.48514    -5.45142  0.00158489
         603     -5.4811    -5.45147  0.00158302
         604    -5.47402     -5.4515  0.00158084
         605    -5.46305    -5.45152  0.00157834
         606    -5.45373    -5.45153  0.00157574
         607    -5.44671    -5.45152  0.00157317
         608    -5.44502    -5.45151  0.00157062
         609    -5.44609     -5.4515  0.00156806
         610    -5.45036     -5.4515  0.00156549
         611    -5.45541     -5.4515  0.00156294
         612    -5.45614    -5.45151  0.00156041
         613    -5.44939    -5.45151  0.00155787
         614     -5.4542    -5.45151  0.00155534
         615    -5.46239    -5.45153  0.00155291
         616    -5.47561    -5.45157  0.00155088
         617    -5.48402    -5.45162  0.00154926
         618    -5.47811    -5.45166  0.00154734
         619    -5.46003    -5.45168   0.0015449
         620    -5.43758    -5.45165  0.00154258
         621    -5.41814     -5.4516  0.00154104
         622    -5.40848    -5.45153  0.00154012
         623    -5.41263    -5.45147  0.00153891
         624    -5.43773    -5.45145   0.0015366
         625     -5.4618    -5.45146  0.00153423
         626    -5.47969    -5.45151  0.00153245
         627     -5.4808    -5.45156  0.00153071
         628    -5.47468    -5.45159  0.00152872
         629    -5.46812    -5.45162  0.00152651
         630    -5.45622    -5.45163  0.00152411
         631      -5.441    -5.45161  0.00152179
         632    -5.42346    -5.45156  0.00152003
         633    -5.41003     -5.4515  0.00151904
         634    -5.40927    -5.45143  0.00151811
         635    -5.42402    -5.45139  0.00151633
         636    -5.44456    -5.45138  0.00151398
         637     -5.4634     -5.4514  0.00151173
         638    -5.47244    -5.45143  0.00150972
         639    -5.47557    -5.45147  0.00150783
         640    -5.46853    -5.45149  0.00150571
         641    -5.45347     -5.4515  0.00150336
         642     -5.4429    -5.45148  0.00150108
         643    -5.43616    -5.45146  0.00149893
         644    -5.43699    -5.45144  0.00149677
         645    -5.44929    -5.45143  0.00149446
         646    -5.46699    -5.45146  0.00149234
         647    -5.48231    -5.45151  0.00149079
         648    -5.48132    -5.45155   0.0014892
         649    -5.46991    -5.45158  0.00148718
         650    -5.45044    -5.45158  0.00148489
         651    -5.43319    -5.45155  0.00148288
         652     -5.4261    -5.45151  0.00148112
         653    -5.42836    -5.45148  0.00147927
         654    -5.43306    -5.45145  0.00147728
         655    -5.43013    -5.45142  0.00147538
         656    -5.42019    -5.45137   0.0014739
         657    -5.41537    -5.45131  0.00147267
         658    -5.42271    -5.45127  0.00147108
         659    -5.44985    -5.45127  0.00146885
         660    -5.48656    -5.45132  0.00146759
         661    -5.51459    -5.45142  0.00146849
