#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         330    0.835602    0.800243  0.00524474
         331    0.834244    0.800345   0.0052299
         332    0.818894    0.800401  0.00521445
         333     0.79811    0.800394  0.00519879
         334    0.780877    0.800336  0.00518356
         335    0.772221    0.800252  0.00516876
         336    0.771837    0.800167  0.00515407
         337    0.775858    0.800095  0.00513928
         338      0.7803    0.800037  0.00512441
         339    0.783772    0.799989  0.00510952
         340    0.787417    0.799952  0.00509462
         341    0.792663     0.79993  0.00507973
         342    0.799407    0.799929  0.00506488
         343    0.806027    0.799947  0.00505014
         344    0.810565    0.799977  0.00503555
         345    0.812061    0.800012  0.00502108
         346    0.811538    0.800046  0.00500668
         347    0.811137    0.800078  0.00499235
         348    0.811989    0.800112  0.00497812
         349    0.813311     0.80015    0.004964
         350    0.813439    0.800188  0.00494997
         351    0.811911    0.800221  0.00493598
         352    0.810391     0.80025  0.00492204
         353    0.809968    0.800278  0.00490817
         354    0.808531    0.800301  0.00489436
         355     0.80452    0.800313  0.00488059
         356    0.801035    0.800315  0.00486688
         357    0.802485    0.800321  0.00485325
         358    0.808397    0.800343  0.00483975
         359    0.813291    0.800379   0.0048264
         360     0.81342    0.800416  0.00481313
         361    0.810884    0.800445  0.00479989
         362    0.809936    0.800471   0.0047867
         363    0.811194      0.8005   0.0047736
         364    0.812619    0.800534   0.0047606
         365    0.817587     0.80058  0.00474779
         366    0.833217     0.80067  0.00473566
         367    0.855072    0.800818  0.00472507
         368    0.866799    0.800997  0.00471563
         369    0.856449    0.801147  0.00470525
         370     0.82488    0.801212  0.00469297
         371    0.782595    0.801161  0.00468059
         372    0.741363    0.801001  0.00467076
         373    0.709089    0.800754  0.00466474
         374    0.691769    0.800463  0.00466136
         375    0.693664    0.800178  0.00465762
         376    0.712549    0.799945  0.00465106
         377    0.739628    0.799785  0.00464147
         378    0.766694    0.799697  0.00463002
         379    0.790795    0.799674  0.00461786
         380    0.810629    0.799703   0.0046058
         381    0.822462    0.799763   0.0045941
         382    0.822887    0.799823  0.00458247
         383    0.813219    0.799858  0.00457064
         384    0.799545    0.799857  0.00455874
         385    0.788772    0.799828  0.00454699
         386    0.784381    0.799788  0.00453538
         387    0.785891    0.799752  0.00452381
         388    0.791339    0.799731   0.0045122
         389    0.798311    0.799727   0.0045006
         390    0.802896    0.799735  0.00448907
