#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         446     1.14328     1.20037  0.00606695
         447     1.14334     1.20024  0.00605472
         448     1.17612     1.20019  0.00604145
         449     1.21719     1.20022  0.00602811
         450     1.24371     1.20032  0.00601549
         451     1.24504     1.20042  0.00600297
         452     1.22416     1.20047  0.00598992
         453     1.19136     1.20045  0.00597673
         454       1.157     1.20036  0.00596433
         455     1.12857      1.2002  0.00595331
         456     1.11239     1.20001  0.00594336
         457     1.11368     1.19982  0.00593336
         458     1.13112     1.19967   0.0059223
         459     1.15477     1.19957  0.00591021
         460     1.17317     1.19951  0.00589764
         461     1.18081     1.19947  0.00588498
         462     1.17965     1.19943   0.0058724
         463     1.17613     1.19938  0.00585993
         464     1.17517     1.19933  0.00584754
         465     1.17917     1.19928  0.00583512
         466     1.19146     1.19927  0.00582262
         467     1.21218     1.19929  0.00581022
         468     1.23434     1.19937  0.00579829
         469     1.24957     1.19948  0.00578691
         470     1.25527     1.19959  0.00577582
         471     1.25489     1.19971  0.00576475
         472     1.25244     1.19982  0.00575362
         473     1.24746     1.19992  0.00574234
         474       1.236         1.2  0.00573073
         475     1.21527     1.20003  0.00571875
         476     1.18558         1.2  0.00570682
         477     1.14935      1.1999  0.00569584
         478      1.1111     1.19971  0.00568695
         479     1.07895     1.19946  0.00568067
         480     1.06364     1.19918  0.00567587
         481     1.07306     1.19891  0.00567013
         482     1.10556     1.19872  0.00566167
         483      1.1513     1.19862   0.0056508
         484     1.20112     1.19863  0.00563913
         485     1.24872     1.19873  0.00562844
         486     1.28594     1.19891  0.00561972
         487     1.30358     1.19912  0.00561229
         488     1.29717     1.19932  0.00560439
         489     1.26886     1.19947  0.00559473
         490     1.22554     1.19952  0.00558357
         491     1.17731     1.19948  0.00557238
         492     1.13616     1.19935  0.00556254
         493     1.11161     1.19917   0.0055541
         494       1.104     1.19898   0.0055462
         495     1.10466     1.19879  0.00553826
         496     1.10612      1.1986  0.00553025
         497     1.10934     1.19842  0.00552204
         498     1.12118     1.19826  0.00551313
         499     1.14724     1.19816  0.00550303
         500     1.18562     1.19814  0.00549208
         501     1.22665     1.19819  0.00548141
         502     1.25805     1.19831  0.00547179
         503     1.27012     1.19846  0.00546277
         504     1.25995     1.19858  0.00545329
         505     1.23575     1.19865  0.00544299
         506     1.21372     1.19868  0.00543232
