#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         478     10.3093     9.66944   0.0258102
         479     10.3608     9.67088   0.0257966
         480     10.2714     9.67213   0.0257732
         481     10.0731     9.67297   0.0257331
         482      9.8283     9.67329   0.0256817
         483     9.56974     9.67307   0.0256294
         484     9.32724     9.67236   0.0255864
         485     9.14368     9.67127   0.0255569
         486     9.07354     9.67004   0.0255339
         487     9.13211     9.66893   0.0255053
         488     9.29476     9.66817   0.0254646
         489     9.52904     9.66788   0.0254141
         490     9.77391      9.6681   0.0253632
         491     9.98212     9.66874   0.0253196
         492     10.1041     9.66962   0.0252836
         493     10.1394     9.67058   0.0252502
         494     10.1411     9.67153   0.0252171
         495     10.1399     9.67248   0.0251839
         496     10.1322      9.6734   0.0251501
         497     10.0601     9.67418   0.0251116
         498     9.92183     9.67468   0.0250661
         499     9.72487     9.67478    0.025016
         500     9.52769     9.67448   0.0249677
         501     9.37679     9.67389    0.024925
         502     9.32015     9.67319   0.0248853
         503     9.37234     9.67259    0.024843
         504     9.49308     9.67223   0.0247963
         505     9.59172     9.67207   0.0247477
         506     9.62007     9.67197    0.024699
         507     9.59193     9.67181   0.0246508
         508     9.53658     9.67155   0.0246037
         509     9.47364     9.67116   0.0245584
         510     9.40707     9.67064   0.0245157
         511     9.38033     9.67007   0.0244743
         512     9.42163     9.66959   0.0244313
         513     9.53271     9.66932   0.0243852
         514     9.66857     9.66932   0.0243377
         515     9.76433      9.6695   0.0242912
         516     9.77304      9.6697   0.0242449
         517     9.69094     9.66974   0.0241981
         518     9.58292     9.66958   0.0241519
         519     9.49742     9.66924   0.0241077
         520     9.49332     9.66891   0.0240637
         521     9.58449     9.66874    0.024018
         522     9.71768     9.66884   0.0239722
         523     9.83357     9.66915   0.0239284
         524     9.86931     9.66953   0.0238858
         525     9.79118     9.66977   0.0238414
         526     9.61039     9.66965   0.0237964
         527     9.40582     9.66915   0.0237565
         528     9.26229     9.66838    0.023724
         529      9.2454     9.66758   0.0236926
         530     9.35807       9.667   0.0236551
         531     9.53316     9.66675   0.0236119
         532     9.71612     9.66684   0.0235677
         533      9.8508     9.66718    0.023526
         534     9.92856     9.66767   0.0234871
         535     9.96925     9.66824   0.0234499
         536     9.97253     9.66881    0.023413
         537     9.92602     9.66928   0.0233743
         538     9.83034     9.66958   0.0233328
         539     9.71094     9.66966   0.0232896
         540     9.61713     9.66956   0.0232467
         541     9.55054     9.66934   0.0232048
         542     9.50087     9.66903   0.0231641
         543     9.46511     9.66866   0.0231244
         544      9.4623     9.66828    0.023085
         545      9.4762     9.66792   0.0230454
         546      9.5012     9.66762   0.0230052
         547     9.51827     9.66735   0.0229648
         548     9.53603     9.66711   0.0229241
         549     9.56687     9.66692   0.0228831
         550     9.63527     9.66687   0.0228415
         551     9.76687     9.66705   0.0228008
         552     9.98473     9.66762   0.0227668
         553     10.2349     9.66865   0.0227487
