#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         554    -6.50042    -6.65035  0.00471027
         555     -6.4796    -6.65005  0.00471182
         556    -6.49023    -6.64976  0.00471211
         557    -6.52736    -6.64954  0.00470877
         558    -6.57518    -6.64941  0.00470221
         559    -6.61989    -6.64935   0.0046941
         560    -6.65941    -6.64937  0.00468575
         561    -6.69548    -6.64945  0.00467812
         562    -6.71092    -6.64956  0.00467107
         563    -6.71423    -6.64968  0.00466419
         564    -6.70302    -6.64977  0.00465688
         565    -6.69183    -6.64985  0.00464923
         566    -6.69136    -6.64992  0.00464159
         567    -6.70098    -6.65001  0.00463428
         568    -6.71809    -6.65013  0.00462767
         569      -6.739    -6.65029  0.00462217
         570    -6.75793    -6.65047  0.00461792
         571    -6.76691    -6.65068  0.00461433
         572    -6.76459    -6.65088  0.00461056
         573    -6.74609    -6.65104  0.00460551
         574    -6.72191    -6.65117  0.00459914
         575     -6.6923    -6.65124   0.0045917
         576    -6.66446    -6.65126  0.00458378
         577    -6.63979    -6.65124  0.00457588
         578      -6.607    -6.65117  0.00456861
         579    -6.57779    -6.65104  0.00456247
         580    -6.56427    -6.65089  0.00455706
         581    -6.58666    -6.65078  0.00455056
         582    -6.63751    -6.65076  0.00454279
         583    -6.68142    -6.65081  0.00453531
         584    -6.70326     -6.6509  0.00452843
         585    -6.70198    -6.65099  0.00452153
         586    -6.68733    -6.65105  0.00451424
         587    -6.66893    -6.65108  0.00450665
         588    -6.64541    -6.65107    0.004499
         589    -6.63065    -6.65103  0.00449149
         590    -6.62447    -6.65099  0.00448411
         591    -6.63021    -6.65095  0.00447666
         592     -6.6348    -6.65093  0.00446918
         593    -6.62924    -6.65089  0.00446179
         594    -6.61433    -6.65083  0.00445471
         595    -6.59131    -6.65073  0.00444834
         596    -6.57548     -6.6506  0.00444267
         597    -6.56385    -6.65046   0.0044376
         598    -6.55763     -6.6503   0.0044329
         599    -6.56106    -6.65015    0.004428
         600    -6.57724    -6.65003  0.00442229
         601    -6.60561    -6.64996  0.00441555
         602    -6.63862    -6.64994  0.00440825
         603     -6.6658    -6.64996  0.00440102
         604    -6.68719    -6.65003  0.00439416
         605    -6.69631     -6.6501  0.00438757
         606    -6.69681    -6.65018    0.004381
         607    -6.68981    -6.65025  0.00437427
         608    -6.68049    -6.65029  0.00436736
         609    -6.67024    -6.65033  0.00436031
         610    -6.66419    -6.65035  0.00435322
         611    -6.66353    -6.65037  0.00434615
         612    -6.66354    -6.65039   0.0043391
         613    -6.65736     -6.6504  0.00433204
         614    -6.66069    -6.65042  0.00432502
         615    -6.66899    -6.65045  0.00431809
         616    -6.69308    -6.65052  0.00431164
         617    -6.72697    -6.65064  0.00430643
         618    -6.75301    -6.65081  0.00430264
         619    -6.75867    -6.65098  0.00429922
         620    -6.74082    -6.65113  0.00429473
         621    -6.70444    -6.65122  0.00428867
